GAME_ID,TEAM_ABBREVIATION_HOME,WL_HOME,MIN_HOME,FGA_HOME,FG3A_HOME,FTA_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,TEAM_ABBREVIATION_AWAY,FGA_AWAY,FG3A_AWAY,FTA_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY
28500005,ATL,0,240,92,3,18,44,25,8,5,16,23,WAS,78,2,26,40,21,11,7,17,19
28500008,GOS,0,240,91,4,52,47,17,3,7,28,37,DEN,88,3,43,44,26,11,3,22,40
28500010,DET,1,240,88,1,49,57,23,11,0,22,32,MIL,88,5,45,41,27,10,7,20,32
28500006,SAC,0,240,88,2,41,48,17,5,2,20,34,LAC,80,0,40,42,19,7,7,18,32
28500011,UTH,0,240,82,2,38,34,30,10,9,16,27,HOU,89,0,34,47,23,10,7,19,28
28500007,CHI,1,265,95,4,41,53,29,8,8,20,33,CLE,93,3,32,47,24,8,8,20,34
28500004,NJN,1,265,101,1,31,52,17,14,3,24,30,BOS,84,7,32,43,27,14,5,28,27
28500009,POR,1,265,110,1,38,54,28,17,9,21,33,PHX,102,10,42,54,32,13,7,27,37
28500014,CHI,1,240,87,3,45,46,18,6,11,20,33,DET,91,2,46,47,21,9,7,20,32
28500013,MIL,1,240,85,5,30,42,28,11,3,22,40,ATL,70,2,52,36,14,9,7,27,34
28500016,CLE,0,240,89,7,33,40,20,4,7,11,32,BOS,86,3,45,54,22,3,2,14,24
28500020,IND,1,240,74,0,34,48,27,8,4,27,27,NJN,79,2,45,32,19,10,0,19,28
28500018,DEN,1,240,103,2,31,37,27,17,8,13,22,SAC,83,2,30,50,14,9,8,26,26
28500017,DAL,1,240,83,2,41,42,18,6,4,15,17,SEA,88,5,11,38,30,7,5,18,34
28500019,SAN,0,290,108,2,26,51,32,18,5,20,33,LAL,99,6,27,53,30,8,5,22,28
28500015,LAC,1,290,102,2,47,50,21,12,4,19,32,HOU,122,4,24,58,36,7,3,21,34
28500012,NYK,0,240,92,3,25,29,19,12,5,13,28,PHL,81,3,39,59,20,9,6,23,26
28500021,POR,1,240,89,2,23,41,34,14,6,26,29,GOS,83,3,33,41,24,11,6,29,31
28500030,ATL,1,240,86,3,38,60,21,9,7,12,25,NYK,84,3,36,44,15,8,3,12,26
28500023,GOS,0,240,89,6,28,51,23,3,3,21,25,CHI,92,1,26,46,24,6,5,14,27
28500029,DET,1,240,87,3,56,50,25,7,4,15,34,NJN,98,5,35,59,22,6,4,20,39
28500022,HOU,1,240,82,0,30,44,26,9,6,23,20,SEA,87,6,24,32,21,16,5,20,24
28500026,PHX,0,240,85,1,57,44,30,13,6,39,41,DEN,108,4,54,51,26,20,7,30,39
28500197,CLE,0,240,87,8,29,38,22,10,4,10,27,WAS,79,3,30,42,24,3,7,16,21
28500027,SAN,1,240,89,1,49,57,26,10,6,18,31,UTH,90,0,40,37,27,7,8,18,33
28500025,LAC,1,240,91,1,36,41,35,7,4,14,23,POR,99,6,24,46,33,9,4,18,27
28500024,DAL,0,240,99,4,35,31,29,8,2,12,20,LAL,101,6,18,60,35,6,3,19,32
28500028,MIL,1,240,86,6,20,31,32,8,5,18,29,PHL,93,5,36,49,26,10,4,18,20
28500033,BOS,1,240,84,2,41,48,27,8,9,22,30,MIL,92,7,33,39,21,13,3,20,33
28500034,UTH,1,240,81,0,41,40,20,16,5,17,23,SAN,83,1,24,45,28,8,9,26,31
28500031,NJN,1,315,121,3,46,65,27,14,6,20,36,IND,109,1,50,58,24,9,6,22,35
28500032,PHL,1,265,108,2,41,48,33,8,7,12,31,DET,110,1,28,61,34,6,4,19,36
28500036,GOS,1,240,77,6,42,46,22,8,3,15,21,NYK,93,2,34,51,22,7,6,15,30
28500038,WAS,0,240,91,13,32,36,17,9,9,16,24,CLE,92,0,29,48,28,9,4,22,30
28500040,PHX,0,240,107,2,32,41,24,16,6,27,37,LAL,93,1,46,50,42,12,6,25,30
28500037,SAC,1,240,99,0,33,58,36,6,2,22,25,HOU,105,4,26,51,23,8,2,17,32
